gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reg
ENSG00000272438.1,38.552640351584614,-4.466302657103991,1.0503178131011066,-4.252334485232664,2.1155356446548072e-5,3.8416552140784296e-4,down
ENSG00000230699.2,62.79529092766923,-3.0786101994009885,0.8810568910703803,-3.4942240740672714,4.754417909799103e-4,0.0051817946834457375,down
ENSG00000241180.1,9.981450489808681,-5.9815386486941184,1.456567777274905,-4.106598224962101,4.015287570043828e-5,6.613604687733326e-4,down
ENSG00000187634.9,539.9265895091805,-2.73694647358851,0.9353555902467477,-2.92610265243243,0.003432376599067304,0.024701857819517156,down
ENSG00000187608.7,105.99758013156466,3.0772164637727095,0.9416321993764863,3.2679601077897797,0.001083256329310628,0.009887586207275105,up
ENSG00000226944.1,36.658518159639584,-3.240906118490595,0.5621425567169789,-5.765274448207787,8.152506524778604e-9,4.273373569406337e-7,down
ENSG00000158286.11,157.07970855952627,-1.6405283929475114,0.3939507813120491,-4.164297853360636,3.1231218847183315e-5,5.366146799966134e-4,down
ENSG00000225077.2,17.742070678689128,-2.3362094175162076,0.8424026754145304,-2.7732692282424236,0.005549618627895395,0.03588045033352104,down
ENSG00000187017.13,30.756158555019837,-3.9750244320048393,1.094340170238257,-3.632348094413282,2.8085391052629414e-4,0.0033503261820362,down
ENSG00000215788.8,76.6031112870637,1.8262279165659847,0.38747728392887293,4.71312252952928,2.4394940555972245e-6,6.102210201750322e-5,up
ENSG00000171680.19,167.15936361968568,1.8115204942555323,0.5567398200858171,3.2538008399979375,0.0011387208218231676,0.010280687728131014,up
ENSG00000229519.2,19.27810685814834,-2.973714390545238,0.7526028226090268,-3.95124001825604,7.774730139769703e-5,0.0011389066036461087,down
ENSG00000049249.7,203.1304997374338,6.892486271587995,1.3698720662146002,5.031481728534085,4.867035012081997e-7,1.4941457134992984e-5,up
ENSG00000228423.2,14.790545314514924,-1.9792416097341343,0.7499285736968457,-2.6392401612026473,0.008309209352801,0.0485072194930803,down
ENSG00000171621.12,199.48805887589964,3.285432930860698,0.8155714044148141,4.028381712595785,5.616210571172696e-5,8.689044725091853e-4,up
ENSG00000171608.14,262.0356088243789,3.2739246020891737,1.153708229278144,2.8377405300624523,0.004543409995636998,0.0307327733140931,up
ENSG00000199562.1,16.31522900235698,-2.987245438834058,0.9420190962953421,-3.1711092169807733,0.001518580364328479,0.013034308063399202,down
ENSG00000162490.6,200.08757189961491,-3.0296257334445515,1.102075245091582,-2.7490189503283786,0.005977393030397004,0.03804386430365037,down
ENSG00000162496.7,408.9015697641875,2.752021506767406,0.9640054085834815,2.854778077242587,0.004306691094449905,0.029523983717781945,up
ENSG00000142634.11,721.7960178699667,1.9321101913318095,0.400163733025464,4.828299098281507,1.3770416125604166e-6,3.7381829140006904e-5,up
ENSG00000162458.11,523.4142112387182,3.580310010144728,0.5700789763604194,6.280375454296983,3.3775636139092317e-10,2.5675332060712602e-8,up
ENSG00000224321.1,41.47609663957302,5.750126237962389,1.3755037218939496,4.180378538012942,2.910242289011581e-5,5.039827869333665e-4,up
ENSG00000183888.4,25.567901658776172,-4.704393050909989,1.056568542708556,-4.452520457262609,8.486815159135445e-6,1.7699343728553256e-4,down
ENSG00000185519.8,12.181476822996409,3.59593704582391,1.097485225878655,3.2765243312910894,0.001050932571698613,0.009687336461431835,up
ENSG00000142627.12,1073.6705134677725,3.982197991764737,0.4174494861816432,9.539352960257277,1.4372622576824349e-21,9.707048171116753e-19,up
ENSG00000117122.12,227.86381527495936,2.5204582563501283,0.4188504644240635,6.01756108785951,1.7706450408551938e-9,1.1265408303412031e-7,up
ENSG00000142619.4,49.97863726234857,7.687885038781241,1.734581868107176,4.432125793618767,9.330855055572308e-6,1.9186160980778658e-4,up
ENSG00000158747.12,140.21705379249065,2.337372289824325,0.4941567671065196,4.730021817793877,2.244957094397054e-6,5.680323714353353e-5,up
ENSG00000162542.12,76.33545206278755,2.1336533528871278,0.6166926735901133,3.459832497224164,5.405115030195258e-4,0.0056928443228052945,up
ENSG00000162545.5,197.73277739637172,2.1041006082133125,0.7605456800114442,2.766567036685622,0.005664993635110902,0.036358657979732256,up
ENSG00000158825.5,40.97834380137523,3.8591549848396376,1.4380310956981242,2.683638063449612,0.007282589896540198,0.04412777038759347,up
ENSG00000189410.10,34.816173520213944,2.345712624081714,0.6410685585670626,3.659066714057741,2.531354416265392e-4,0.0030761649515308152,up
ENSG00000117298.13,2239.1585937501977,2.062145731353736,0.37727955395717927,5.465829541316164,4.607469436391149e-8,1.912698896052685e-6,up
ENSG00000133216.15,653.02081492366,5.472834052558247,0.945134361398879,5.790535479482504,7.016237480284227e-9,3.733488792539122e-7,up
ENSG00000179546.4,11.708176392692161,4.014489706521077,1.449383848767424,2.7697905630279065,0.005609234805593877,0.03618218363330956,up
ENSG00000007968.6,352.0379258537814,-1.581813107842903,0.24943007779551424,-6.341709555732458,2.2722940297657802e-10,1.8054969756871993e-8,down
ENSG00000117308.13,783.8190534608326,1.5654403284680074,0.3545546334794685,4.415230208967665,1.0090255208993744e-5,2.046014797574251e-4,up
ENSG00000179163.11,127.04670565711878,2.399144217936189,0.5407401286227167,4.4367785761469,9.131513764834247e-6,1.890085914872265e-4,up
ENSG00000001460.16,107.5209379850861,3.7580960893248143,0.6973921436776445,5.388784664975978,7.093573649370548e-8,2.7742350397092836e-6,up
ENSG00000001461.15,288.7815037680897,2.8064641937368706,0.6629509762859715,4.233290686830922,2.3029652225371767e-5,4.1434497241550026e-4,up
