gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000227232.5,52.99125655725639,0.19210105826568438,0.6567631385159828,0.29249671152335766,0.7699068738307847,0.9036538135464595
ENSG00000279457.2,76.76265110237311,0.024770656498713205,0.46813819674140833,0.052913128369219783,0.9578011241247728,0.9855328130545381
ENSG00000237094.10,10.960899018140585,-0.8770091732940162,1.1848506181314116,-0.7401854376183878,0.4591874824776082,0.7079308333895347
ENSG00000225972.1,47.94374873499654,-0.9250313952767002,1.1291302350717813,-0.8192424279719105,0.41264811244357213,0.6708731464224726
ENSG00000225630.1,231.07233150566736,0.3382778027963145,0.2885104664680137,1.1724975074130224,0.24099737226765364,0.494132962793559
ENSG00000237973.1,219.37507330983283,-0.655367879743761,0.37411078876722725,-1.7518016037530868,0.07980792836248145,0.2450475995882452
ENSG00000229344.1,41.05117585300156,-0.2715121815730369,0.6169456333371406,-0.4400909365455617,0.6598712460484422,0.8431631023042743
ENSG00000248527.1,326.31099907140555,-0.0113896801221827,0.2678835487357896,-0.04251728101980688,0.9660863359448729,0.9884913064488107
ENSG00000198744.5,21.504404982846527,-0.26987970027625435,0.7258042421131942,-0.3718353856550824,0.7100154157220038,0.8720708548368616
ENSG00000228327.2,18.182643927416585,-0.9958897763531075,0.890518027748596,-1.1183263508667105,0.26342763660324253,0.5210283924184519
ENSG00000237491.7,25.442367353369512,-0.3719197774623589,0.6820064583305006,-0.5453317529760494,0.5855253691939968,0.7966975418135115
ENSG00000225880.5,14.166098317919342,-1.2112040827510335,0.7019811685934763,-1.7254082259469454,0.08445392991385586,0.2541578422086219
ENSG00000188976.9,1777.9288918621658,0.42107609374030275,0.2714963319318763,1.5509457926892323,0.1209146750795504,0.3205008352984553
ENSG00000187961.12,224.82618290663308,-0.6005907801707302,0.446361458973917,-1.3455256230037225,0.17845555243693312,0.41259769595688556
ENSG00000187583.9,25.220814960456345,0.19796306963652077,1.0786507283367055,0.18352842531500682,0.8543834173608981,0.9435831955256208
ENSG00000187642.8,112.90454516337923,-1.4211598283079376,0.8241601782360839,-1.7243733267355716,0.08464046959071146,0.2544458506913271
ENSG00000217801.8,23.46595105227408,1.41247608438465,1.3268283633072426,1.0645507161634098,0.28707929227522844,0.5458112139836522
ENSG00000131591.16,243.76444122212624,-0.123130781940119,0.2979071608746402,-0.4133193092056375,0.679372684626911,0.8546302988787562
ENSG00000176022.4,602.6979237181542,0.5439524737469111,0.3838097858499442,1.4172449317370375,0.15641132925721685,0.37951954425269147
ENSG00000184163.3,13.41307244702536,0.07439906408886968,0.7247070459210326,0.10266088139700043,0.9182321216691129,0.9711262409356349
ENSG00000260179.1,9.805853732110064,0.3435418116568715,0.9362120849339373,0.36694870444992506,0.7136572807821298,0.8740285849165992
ENSG00000160087.19,757.9885850574607,0.29989037546882047,0.31835470292063256,0.9420007705794271,0.34619224539086463,0.6091928879710976
ENSG00000162572.18,66.10912570250788,0.035059258611977506,0.5300726395734456,0.06614047961462417,0.94726598331816,0.9812406009359893
ENSG00000131584.17,783.7770468310702,-0.38282162617459187,0.2502292590869448,-1.529883545878927,0.1260455568697724,0.3288796402129574
ENSG00000169972.10,195.39204421166568,-0.20441569929343872,0.4286823612644411,-0.4768465366536061,0.6334714048185299,0.8261852249415764
ENSG00000127054.17,1121.8864529486846,0.3325466182989401,0.19012643397610351,1.7490814472475564,0.0802769417031853,0.2458428839044182
ENSG00000240731.1,47.20284100326883,-0.905150196167558,0.5188633874238203,-1.7444865413643247,0.08107428621220981,0.24746470813252291
ENSG00000169962.4,21.040353264258854,0.7077130956837061,0.8965591347099259,0.7893657744200896,0.429898253641154,0.6851008317896686
ENSG00000162576.15,587.4958263455871,0.9336915978046286,0.8015126370727752,1.1649118861239514,0.24405466167894938,0.4978624371610538
ENSG00000175756.12,918.1851814457066,0.1490211152045114,0.3140101333135955,0.47457422355120954,0.6350904824091078,0.8267560759149868
ENSG00000221978.10,1552.1857570001,0.1674425937700128,0.28429213119023006,0.5889807539483777,0.5558741843516635,0.7786507009262851
ENSG00000224870.5,320.6510900098756,-0.1120573709923038,0.26956654815917624,-0.4156946466745387,0.6776334590301314,0.8536655097617554
ENSG00000242485.4,608.131971103152,0.11814006284297592,0.32016677563654516,0.3689953856332959,0.7121311641959455,0.8732712307501672
ENSG00000272455.1,98.85470713801269,-0.10516447656301667,0.7206922908696021,-0.14592146731044264,0.8839833845188525,0.9568331851605372
ENSG00000179403.11,225.28465557528105,0.28559109825280776,1.146531992184732,0.24909125972892404,0.8032901901505081,0.9203871968504702
ENSG00000160072.18,826.0506104879713,-0.061441370219089055,0.3527234200706213,-0.174191354253674,0.8617150799732172,0.946675097520976
ENSG00000197785.12,825.468221045718,-0.09549217096040465,0.33731895738689943,-0.2830916225407298,0.7771066032855978,0.907288675754806
ENSG00000205090.7,20.59948256233477,-0.5704640782381561,0.7583749154228622,-0.7522190761281591,0.45191932362656634,0.7033950826876888
ENSG00000160075.11,1313.5715086259775,-0.010350461843864737,0.2869983695050871,-0.036064531870733406,0.9712309033860226,0.9903543251160325
ENSG00000228594.3,73.54881862942548,-1.369739023998726,0.5580211917382497,-2.4546362114527502,0.014102722503743174,0.07232587826101931
ENSG00000272106.1,59.6445645079183,-0.22415076849996607,0.41149736594460545,-0.5447198136625268,0.5859462354918015,0.7968174719071005
ENSG00000197530.11,370.96836086078844,-0.2005503848516592,0.34088683181898655,-0.5883195422407896,0.5563178309116634,0.7788295310075048
