cell_line,phenotype,timepoint,date,concentration,pct_viability
SKNAS,MES,72hr,20241210,10,110.78%
SHEP,MES,72hr,20241114,1,109.25%
SHEP,MES,72hr,20241114,5,110.60%
SHEP,MES,72hr,20241114,10,97.30%
SHEP,MES,72hr,20241121,1,87.40%
SHEP,MES,72hr,20241121,5,0.00%
SHEP,MES,72hr,20241121,10,88.22%
SHEP,MES,72hr,20241205,1,92.89%
SHEP,MES,72hr,20241205,5,91.44%
SHEP,MES,72hr,20241205,10,99.60%
SHEP,MES,72hr,20241210,1,99.21%
SHEP,MES,72hr,20241210,5,90.62%
SHEP,MES,72hr,20241210,10,99.66%
