cell_line,timepoint,date,concentration,pct_viability
SKNAS,72hr,20241205,10 microM,1.0695000000000001
SKNAS,72hr,20241210,1 microM,0.9739
SKNAS,72hr,20241210,5 microM,1.0654000000000001
SKNAS,72hr,20241210,10 microM,1.1078000000000001
SHEP,72hr,20241114,1 microM,1.0925
SHEP,72hr,20241114,5 microM,1.1059999999999999
SHEP,72hr,20241114,10 microM,0.973
SHEP,72hr,20241121,1 microM,0.8740000000000001
SHEP,72hr,20241121,5 microM,0
SHEP,72hr,20241121,10 microM,0.8822
SHEP,72hr,20241205,1 microM,0.9289000000000001
SHEP,72hr,20241205,5 microM,0.9144
SHEP,72hr,20241205,10 microM,0.996
SHEP,72hr,20241210,1 microM,0.9921
SHEP,72hr,20241210,5 microM,0.9062
SHEP,72hr,20241210,10 microM,0.9965999999999999
