"sample","tsse_score","tsse_score_smoothed"
"IMR5_1",2.68335994615379,2.3232339399596
"IMR5_2",1.5447251005841,1.32408526476018
"SHEP1",2.84483372498754,2.45267337156322
"SHEP2",3.06841317827066,2.63582273764609
"SKNAS1",2.69105133953816,2.33313805454055
"SKNAS2",2.66863205234637,2.32580465266029
"SY5Y_1",2.13422426217759,1.86481138463726
"SY5Y_2",2.47162567253469,2.14187246250301
