gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,reg
ENSG00000272438.1,38.552640351584614,4.466304492775185,1.0503166909874766,4.252340775976909,2.1154762011813168e-5,3.8415472691565586e-4,up
ENSG00000230699.2,62.79529092766923,3.0786133441365053,0.8810562229376483,3.494230293126681,4.7543071508855694e-4,0.005181840258962568,up
ENSG00000241180.1,9.981450489808681,5.981534937500719,1.4565647021683612,4.106604346924045,4.0151811993956715e-5,6.613506376763742e-4,up
ENSG00000187634.9,539.9265895091805,2.736952881733042,0.9353547736092548,2.9261120581786932,0.0034322728232877285,0.02470111097415267,up
ENSG00000187608.7,105.99758013156466,-3.077208704028645,0.9416312721572315,-3.26795508498662,0.0010832755536793134,0.009887746370809998,down
ENSG00000226944.1,36.658518159639584,3.2409069892403095,0.5621423948867411,5.765277656906269,8.152351414567933e-9,4.273292263875012e-7,up
ENSG00000158286.11,157.07970855952627,1.6405293695486625,0.39395072005388704,4.1643009798897195,3.123079092222038e-5,5.366073273915751e-4,up
ENSG00000225077.2,17.742070678689128,2.3362112153797083,0.8424020916082485,2.7732732843998473,0.005549549449869043,0.03588000307058188,up
ENSG00000187017.13,30.756158555019837,3.9750245059957297,1.0943388603603466,3.632352509794657,2.8084910352345387e-4,0.003350346642575985,up
ENSG00000215788.8,76.6031112870637,-1.8262268512463522,0.3874772062088669,-4.713120725511625,2.439515661740297e-6,6.1022642478859854e-5,down
ENSG00000171680.19,167.15936361968568,-1.811517919075718,0.5567396333466407,-3.2537973059083787,0.0011387349874082664,0.010280815618966148,down
ENSG00000229519.2,19.27810685814834,2.973715459874289,0.7526024148225742,3.9512435800187298,7.774614412789901e-5,0.001138921535309652,up
ENSG00000049249.7,203.1304997374338,-6.89247013194207,1.3698686160946132,-5.031482618816362,4.86701240685494e-7,1.4941387738526704e-5,down
ENSG00000228423.2,14.790545314514924,1.9792428556736266,0.7499281584899586,2.6392432838620077,0.008309132809968258,0.04850677265393703,up
ENSG00000171621.12,199.48805887589964,-3.285426950761428,0.8155708148784648,-4.028377292106778,5.6163161506205644e-5,8.689208070916045e-4,down
ENSG00000171608.14,262.0356088243789,-3.2739107386506245,1.1537066314350317,-2.837732443800196,0.004543525090461073,0.0307335518445672,down
ENSG00000199562.1,16.31522900235698,2.9872470953522634,0.9420182894106041,3.171113691668667,0.0015185569715677647,0.013034093289764636,up
ENSG00000162490.6,200.08757189961491,3.0296326547804897,1.1020739130947135,2.749028553151244,0.00597721791323689,0.03804274974861899,up
ENSG00000162496.7,408.9015697641875,-2.752012187117605,0.9640044912746052,-2.854771126095999,0.004306785349229399,0.02952422227945157,down
ENSG00000142634.11,721.7960178699667,-1.9321085153165525,0.40016366577561424,-4.8282957213810445,1.3770649591176691e-6,3.738231473068248e-5,down
ENSG00000162458.11,523.4142112387182,-3.5803065947366752,0.5700787733350124,-6.280371699846948,3.3776451833960543e-10,2.5675952130058318e-8,down
ENSG00000224321.1,41.47609663957302,-5.7501115869331025,1.3754991504341416,-4.180381780038341,2.9102007952441704e-5,5.039756012276887e-4,down
ENSG00000183888.4,25.567901658776172,4.704390609932794,1.056567312906681,4.452523329527136,8.486701597656831e-6,1.7699106894875766e-4,up
ENSG00000185519.8,12.181476822996409,-3.595933185034062,1.097483393487392,-3.2765262840174105,0.001050925304423637,0.00968726947279741,down
ENSG00000142627.12,1073.6705134677725,-3.9821958816320695,0.41744940371565353,-9.539349789907833,1.4373061932895895e-21,9.707344905448151e-19,down
ENSG00000117122.12,227.86381527495936,-2.5204566015900367,0.4188503763906588,-6.017558401903463,1.770674411584509e-9,1.1347825791030648e-7,down
ENSG00000142619.4,49.97863726234857,-7.687865034946149,1.7345730885755533,-4.432136694372153,9.330383207322969e-6,1.9185190763535285e-4,down
ENSG00000158747.12,140.21705379249065,-2.3373703729220883,0.4941566270836682,-4.730019278940756,2.2449851695363756e-6,5.680394751737573e-5,down
ENSG00000162542.12,76.33545206278755,-2.1336511661368167,0.6166924120035853,-3.4598304188708133,5.405156747168668e-4,0.005692778555145903,down
ENSG00000162545.5,197.73277739637172,-2.104095535898495,0.7605452194133163,-2.766562042848145,0.005665080402330649,0.036359214862911625,down
ENSG00000158825.5,40.97834380137523,-3.859141891362915,1.4380277054691717,-2.6836352851100527,0.0072826504099200405,0.04412813705941888,down
ENSG00000189410.10,34.816173520213944,-2.3457101720668265,0.6410682127815088,-3.6590648628312192,2.5313727000796457e-4,0.00307618717047741,down
ENSG00000117298.13,2239.1585937501977,-2.0621440159843445,0.37727949907012454,-5.465825789810689,4.607566893324965e-8,1.908228175631754e-6,down
ENSG00000133216.15,653.02081492366,-5.472823426998425,0.9451334216548508,-5.7905299946074935,7.016466620497413e-9,3.733610722907108e-7,down
ENSG00000179546.4,11.708176392692161,-4.01448415028684,1.4493800650640836,-2.7697939602262585,0.005609176304794549,0.036181806332456476,down
ENSG00000007968.6,352.0379258537814,1.581813584009633,0.24943006220833444,6.341711861052402,2.272260020544774e-10,1.8054699529758475e-8,up
ENSG00000117308.13,783.8190534608326,-1.5654390366166415,0.354554586907441,-4.415227145334635,1.0090398116633532e-5,2.046043775151095e-4,down
ENSG00000179163.11,127.04670565711878,-2.39914191779072,0.5407399459576028,-4.436775821216705,9.131630582622405e-6,1.8901132481396018e-4,down
ENSG00000001460.16,107.5209379850861,-3.758092561501527,0.6973917211581983,-5.388782871210814,7.093644438892585e-8,2.7680976965989733e-6,down
