gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000227232.5,52.99125655725639,-0.192098667225457,0.6567628427725558,-0.29249320259121736,0.7699095563161907,0.903656962028762
ENSG00000279457.2,76.76265110237311,-0.024769264607845506,0.46813808739037105,-0.05291016748054278,0.957803483267444,0.985530307007104
ENSG00000237094.10,10.960899018140585,0.8770117712095317,1.184848941753855,0.740188677479298,0.4591855168715838,0.7079278030083417
ENSG00000225972.1,47.94374873499654,0.9250377715569119,1.1291287859488242,0.8192491264666399,0.4126442914531588,0.6708669343502888
ENSG00000225630.1,231.07233150566736,-0.3382771566688567,0.2885104405068911,-1.1724953733893624,0.24099822854918596,0.49413018569152867
ENSG00000237973.1,219.37507330983283,0.6553688875917526,0.37411073518810917,1.7518045486244123,0.0798074218129852,0.24504604424480156
ENSG00000229344.1,41.05117585300156,0.2715142007333574,0.6169453871516285,0.4400943849939615,0.6598687485433685,0.8431603335192102
ENSG00000248527.1,326.31099907140555,0.011390268747139812,0.2678835284115571,0.04251948156230277,0.9660845817523327,0.9884932081142066
ENSG00000198744.5,21.504404982846527,0.2698819494211285,0.7258038399009306,0.3718386905447708,0.7100129549371349,0.8720731898366862
ENSG00000228327.2,18.182643927416585,0.9958923579852327,0.8905173115989965,1.1183301492444058,0.2634260149378144,0.5210217160010521
ENSG00000237491.7,25.442367353369512,0.3719216750933873,0.6820061282473142,0.5453347993355835,0.5855232743863399,0.7966935672357406
ENSG00000228794.7,264.05545288832764,0.6938746762747944,0.2627851080451984,2.6404642235489604,0.008279253353366765,0.04838059530286869
ENSG00000225880.5,14.166098317919342,1.211205478150052,0.7019808185301741,1.7254110741745137,0.08445341698272361,0.25415629858039873
ENSG00000272438.1,38.552640351584614,4.466304492775185,1.0503166909874766,4.252340775976909,2.1154762011813168e-5,3.8415472691565586e-4
ENSG00000230699.2,62.79529092766923,3.0786133441365053,0.8810562229376483,3.494230293126681,4.7543071508855694e-4,0.005181840258962568
ENSG00000241180.1,9.981450489808681,5.981534937500719,1.4565647021683612,4.106604346924045,4.0151811993956715e-5,6.613506376763742e-4
ENSG00000223764.2,212.20175445202568,2.430139526819111,0.9791256289071787,2.481948643844036,0.013066610589406072,0.06812639012766349
ENSG00000187634.9,539.9265895091805,2.736952881733042,0.9353547736092548,2.9261120581786932,0.0034322728232877285,0.02470111097415267
ENSG00000188976.9,1777.9288918621658,-0.42107527685478907,0.2714963115393751,-1.5509429003558324,0.12091536827592264,0.3205031845575824
ENSG00000187961.12,224.82618290663308,0.6005923020717879,0.44636136826808515,1.3455293060018392,0.17845436391115807,0.412594948028958
ENSG00000187583.9,25.220814960456345,-0.19795950499100148,1.0786494526036992,-0.18352533764621742,0.8543858398218805,0.943585870897624
ENSG00000187642.8,112.90454516337923,1.4211627287791144,0.8241596175711595,1.7243780191115812,0.0846396230424087,0.25445019428366655
ENSG00000188290.9,39.60108950333024,1.5543433924525436,1.297332764406585,1.1981069430274647,0.2308753862442051,0.480409027426027
ENSG00000187608.7,105.99758013156466,-3.077208704028645,0.9416312721572315,-3.26795508498662,0.0010832755536793134,0.009887746370809998
ENSG00000188157.12,964.3059150380169,-1.5429028221689234,0.7430697340492469,-2.0763903459788438,0.037857863407329835,0.14723899920990297
ENSG00000217801.8,23.46595105227408,-1.4124697728936026,1.326825955357443,-1.0645478912967807,0.2870805712223649,0.5458136455895114
ENSG00000131591.16,243.76444122212624,0.12313148728464411,0.29790713288744664,0.41332171570113047,0.6793709217214796,0.8546280811970185
ENSG00000078808.15,1264.172403601515,-0.6511598670145576,0.20203267382902954,-3.2230423657393295,0.0012683679260594271,0.011237407054290383
ENSG00000176022.4,602.6979237181542,-0.5439510681948497,0.3838097278652897,-1.4172414837431289,0.15641233699911009,0.3795219894575616
ENSG00000184163.3,13.41307244702536,-0.07439722640538814,0.7247066337434115,-0.10265840402356398,0.918234087938523,0.9711234983541246
ENSG00000260179.1,9.805853732110064,-0.3435383924896866,0.9362111766614046,-0.3669454083156418,0.7136597394850157,0.8740315961331341
ENSG00000160087.19,757.9885850574607,-0.2998893808391583,0.3183546697937642,-0.9419977443190387,0.34619379477110934,0.6091956144083255
ENSG00000162572.18,66.10912570250788,-0.03505763322460961,0.5300724830456398,-0.06613743279632026,0.947268409016198,0.9812431136340513
ENSG00000131584.17,783.7770468310702,0.3828222176131112,0.2502292430147777,1.5298860077297318,0.1260449473912941,0.3288780499541047
ENSG00000169972.10,195.39204421166568,0.20441708444802162,0.4286822800167966,0.47684985822136655,0.6334690394036437,0.8261821399233499
ENSG00000127054.17,1121.8864529486846,-0.3325462437883244,0.19012642672731936,-1.7490795441354638,0.08027727062271357,0.24584389119896238
ENSG00000240731.1,47.20284100326883,0.905151528969804,0.5188632437354489,1.7444895931601403,0.08107375451465201,0.24746284656490522
ENSG00000224051.5,301.1029171236802,-1.0689226257943327,0.2631828820944518,-4.061520328707073,4.875417190287416e-5,7.740330959496016e-4
ENSG00000169962.4,21.040353264258854,-0.7077092381588497,0.8965583595086234,-0.789362154346231,0.4299003688537842,0.6850969511233128
ENSG00000107404.16,903.4406508589033,-0.8958475487853517,0.25889731047971565,-3.4602427778234506,5.396885697701935e-4,0.005691850621720478
ENSG00000162576.15,587.4958263455871,-0.9336850252565064,0.8015121175339873,-1.1649044410322522,0.24405767564885567,0.4978685855476191
ENSG00000175756.12,918.1851814457066,-0.14902013866676783,0.3140101017194608,-0.47457116140774236,0.6350926654398878,0.8267595622122382
